ID,HW26,Exam26,HW25,Exam25
1,50,100,41,94
2,50,100,41,98
3,50,99,40,58
4,50,96,41,82
5,43,98,32,58
6,48,90,41,67
7,50,90,17,42
8,49,97,40,98
9,41,91,40,69
10,40,90,33,94
11,47,82,31,40
12,42,88,41,99
13,42,85,17,86
14,46,77,26,29
15,42,84,28,76
16,48,75,41,87
17,43,78,41,81
18,41,73,33,74
19,35,77,28,71
20,38,72,41,47
21,48,64,39,57
22,43,63,33,34
23,37,71,29,77
24,36,68,39,55
25,21,74,39,70
26,41,55,41,70
27,43,48,20,80
28,47,44,40,75
29,27,61,41,99
30,35,59,33,60
31,36,50,34,56
32,18,65,41,84
33,34,50,20,68
34,36,47,33,87
35,26,52,41,90
36,30,50,41,80
37,39,38,31,73
38,41,35,41,88
39,22,50,41,88
40,38,30,38,37
41,42,28,41,82
42,31,40,40,61
43,27,30,41,100
44,7,65,40,51
45,11,41,9,55
46,0,47,41,97
47,13,34,41,58
48,20,27,30,87
49,22,22,41,55
50,20,23,35,22
51,0,9,41,100
52,,,27,80
54,,,40,41
55,,,23,50
56,,,38,82
TP,50,100,41,100
