Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Akron,85,James Madison,71,11.189246661258986,-6.42260170209562
Alabama,91,North Dakota,62,22.89926309681164,-8.39620613812819
Arizona,93,Florida,87,29.622564216561056,26.39081761428366
Arkansas,109,Southern Univ,77,21.77145836677927,-11.076179678502223
Arkansas St,89,Ohio,85,-2.643647731191786,-2.458559640908652
Auburn,95,Bethune-Cookman,90,19.144250770747117,-7.810451810139458
Ball St,75,Louisiana,64,-11.502717502859307,-12.137067018502796
Baylor,96,UTRGV,81,15.872210600276453,-0.22814271103413875
Belmont,79,Air Force,63,10.045584450409333,-12.735240615401642
Boston Univ,76,Northeastern,75,-9.831287835150842,-6.463460575559628
Bowling Green,83,Texas St,48,3.589447698727336,-8.993596293102888
Bucknell,78,Delaware,70,-13.096288524993339,-8.317869143575352
Buffalo,85,Southern Miss,79,-1.2829899801500664,-6.948449734643707
BYU,71,Villanova,66,22.96623370113013,18.019965533374403
C Michigan,82,Appalachian St,66,-9.604265919979685,-3.019964221943779
California,87,CS Bakersfield,60,13.447545319841446,-10.961124093729158
Charlotte,92,Indiana St,76,1.2042231354891468,-2.4581456880249015
Cincinnati,94,W Carolina,63,12.416982907123183,-9.503110725382177
Clemson,88,New Hampshire,38,17.882590338253785,-12.508359622828568
Colorado,84,Montana St,78,10.951503521035468,1.0473895970912468
Colorado St,98,Incarnate Word,64,8.035917066741126,-5.547585347287668
Connecticut,79,New Haven,55,25.10729111927154,-14.029552843602488
Dayton,88,Canisius,48,7.453720484555427,-17.060558122515523
DePaul,92,Chicago St,62,7.564957311061451,-16.24969652612226
Drake,77,Northern Arizona,71,0.7544156025781878,-9.643076515343548
Duquesne,83,Niagara,63,4.686016814942015,-16.995194255109116
E Michigan,71,Georgia St,49,-3.580139516277849,-9.841027531814934
FL Atlantic,83,Boston College,78,6.351804649646517,3.54890302348592
G Washington,67,Maine,47,9.857746736889899,-16.277077360329795
George Mason,70,Wofford,46,8.095174888899992,-5.064308768836391
Georgetown,87,Morgan St,70,8.097403188054626,-20.00282080703169
Georgia,104,Bellarmine,59,20.02973847054447,-9.739354468795353
Georgia Tech,56,MD E Shore,52,4.81995930743693,-15.28346349833095
Gonzaga,98,TX Southern,43,26.12679094319873,-14.284509430349972
Grand Canyon,90,PFW,71,11.357472832207115,-5.625687252766425
