name1,score1,name2,score2,date,idx1,idx2
Longwood,82,Winthrop,70,2025-12-31,3,8
Radford,76,SC_Upstate,69,2025-12-31,5,6
High_Point,87,UNC_Asheville,69,2025-12-31,2,7
Charleston_So,89,Gardner_Webb,79,2025-12-31,0,1
Presbyterian,86,SC_Upstate,77,2026-01-03,4,6
Charleston_So,86,UNC_Asheville,83,2026-01-03,0,7
High_Point,80,Longwood,67,2026-01-03,2,3
Winthrop,88,Gardner_Webb,77,2026-01-03,8,1
Radford,80,Presbyterian,61,2026-01-07,5,4
UNC_Asheville,72,Longwood,61,2026-01-07,7,3
High_Point,104,Gardner_Webb,49,2026-01-07,2,1
Winthrop,81,Charleston_So,77,2026-01-07,8,0
Winthrop,71,SC_Upstate,50,2026-01-10,8,6
UNC_Asheville,91,Radford,72,2026-01-10,7,5
Longwood,77,Presbyterian,70,2026-01-10,3,4
High_Point,84,Charleston_So,82,2026-01-10,2,0
SC_Upstate,86,Charleston_So,81,2026-01-14,6,0
Presbyterian,71,UNC_Asheville,70,2026-01-14,4,7
Radford,89,Gardner_Webb,80,2026-01-14,5,1
Winthrop,92,High_Point,75,2026-01-14,8,2
Winthrop,69,UNC_Asheville,67,2026-01-17,8,7
High_Point,89,SC_Upstate,69,2026-01-17,2,6
Presbyterian,92,Gardner_Webb,55,2026-01-17,4,1
Radford,85,Longwood,83,2026-01-17,5,3
UNC_Asheville,83,SC_Upstate,69,2026-01-21,7,6
Winthrop,76,Radford,75,2026-01-21,8,5
Longwood,91,Gardner_Webb,56,2026-01-21,3,1
Presbyterian,87,Charleston_So,83,2026-01-21,4,0
Gardner_Webb,67,SC_Upstate,65,2026-01-23,1,6
High_Point,93,Radford,83,2026-01-23,2,5
Longwood,81,Charleston_So,79,2026-01-23,3,0
Winthrop,82,Presbyterian,72,2026-01-24,8,4
Radford,84,Charleston_So,75,2026-01-29,5,0
High_Point,84,Presbyterian,81,2026-01-29,2,4
SC_Upstate,65,Longwood,60,2026-01-29,6,3
UNC_Asheville,69,Gardner_Webb,50,2026-01-29,7,1
Winthrop,84,UNC_Asheville,71,2026-01-31,8,7
Radford,93,Presbyterian,84,2026-01-31,5,4
High_Point,71,Longwood,59,2026-01-31,2,3
Winthrop,80,Radford,78,2026-02-04,8,5
UNC_Asheville,76,SC_Upstate,67,2026-02-04,7,6
Longwood,86,Gardner_Webb,66,2026-02-04,3,1
High_Point,80,Charleston_So,55,2026-02-04,2,0
High_Point,86,Radford,77,2026-02-07,2,5
Winthrop,79,Longwood,74,2026-02-07,8,3
Presbyterian,68,Gardner_Webb,62,2026-02-07,4,1
SC_Upstate,100,Charleston_So,94,2026-02-07,6,0
Winthrop,103,Gardner_Webb,85,2026-02-12,8,1
UNC_Asheville,79,Longwood,74,2026-02-12,7,3
Charleston_So,84,Presbyterian,67,2026-02-12,0,4
High_Point,95,SC_Upstate,70,2026-02-12,2,6
