Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
Army,12,2,0.8571428571428571,435,50,55,31.1,55,55,15.5,5335,292,11,886,152.26,48,121.5,217,5.33,82,402,6.02,18,18,6.475124378109452,162,0.4852,12,230,24,4207,40,4.12,9.245901639344263,1590,38,764,10,0.6,13,1568,40,783,5.51,0.775,0.41359999999999997,44,1128,253,2,4,4,12,9,10,16,25,0.425,1000,10,170,98,169,0.9091,17,38,2079.36,66,14,4171,1461.29,44,0,39,64,21.13,0,154,824,122,25,31,14,5,13,441,229,41.84,118,40,4.22,45,1.0,0,567,7,0.833,2603,1.0,11,18,11.0,0,0.636,40.0,67,0,0,381,4.4
Charlotte,5,7,0.4166666666666667,284,28,31,23.7,30,30,35.1,4094,206,-9,743,121.16,16,137.04,421,6.29,47,343,5.51,10,10,7.795918367346939,153,0.3072,29,77,42,1405,24,5.23,7.61756373937677,1663,40,390,16,0.75,9,2524,56,826,3.6,0.4167,0.4183,104,2689,206,2,14,14,16,14,16,18,55,0.5417000000000001,2348,10,94,138,153,0.9031999999999999,13,48,1717.25,177,39,5198,1882.08,84,1,15,79,27.67,5,834,415,353,234,10,15,7,29,784,277,41.58,110,24,3.43,93,1.0,0,682,15,1.0,2674,0.9620000000000001,23,25,21.38,1,0.652,42.69,64,0,0,483,8.4
East Carolina,8,5,0.6153846153846154,416,37,49,32.0,46,42,27.3,5673,286,-8,899,136.94,23,132.51,355,5.44,83,425,6.31,14,14,7.197647058823529,203,0.4511,21,113,35,2241,35,4.07,8.018691588785046,2535,60,471,26,0.7447,15,2208,47,968,4.76,0.5556,0.39409999999999995,151,3432,255,8,23,23,21,24,16,24,52,0.4571,2123,12,204,112,184,0.7551000000000001,16,153,1520.31,258,31,5267,2079.77,77,3,39,90,19.56,2,705,763,428,292,10,21,7,28,827,275,42.25,135,18,6.38,99,0.9129999999999999,1,791,9,0.762,3059,0.978,15,22,22.74,0,0.6,40.83,80,0,0,543,6.42
Florida Atlantic,3,9,0.25,311,30,42,25.9,39,39,30.3,4771,234,0,808,125.55,24,134.01,363,6.04,55,378,5.9,11,11,7.402116402116402,162,0.3481,18,102,35,2268,23,4.89,7.151428571428571,1949,44,458,14,0.7955,14,2202,44,828,4.95,0.4706,0.3704,112,2503,211,7,11,11,18,14,10,25,49,0.6522,2110,21,256,112,158,0.7143,15,71,1822.58,205,21,5000,1775.75,106,1,11,72,25.18,0,391,277,350,83,16,12,7,23,619,252,44.3,117,34,5.07,79,1.0,0,630,18,0.556,2798,1.0,25,20,18.62,0,0.72,43.06,60,0,0,450,5.05
Memphis,11,2,0.8461538461538461,464,54,61,35.7,53,51,23.8,5779,300,18,927,141.09,33,129.19,310,5.83,82,457,6.23,11,11,7.326039387308534,177,0.4607,21,122,35,2263,28,3.96,7.340292275574113,2352,56,448,25,0.875,26,1453,40,824,5.05,0.5217,0.38420000000000004,150,3516,275,15,6,6,26,14,17,17,47,0.6071,2043,9,138,71,178,0.8852,17,173,1993.85,310,13,4801,1606.0,54,0,5,77,17.8,1,225,89,479,91,12,7,2,22,624,225,42.0,132,23,12.36,69,0.9620000000000001,0,602,13,0.654,3348,1.0,15,28,17.31,0,0.867,43.47,68,0,0,367,6.0
Navy,10,3,0.7692307692307693,407,37,42,31.3,54,50,22.2,4827,221,10,771,151.77,38,123.73,288,5.38,62,405,6.26,17,17,6.832098765432098,189,0.3851,17,148,30,3218,37,4.17,8.988826815642458,2019,49,592,15,0.6977,20,2029,43,892,5.44,0.625,0.418,62,1609,240,7,6,6,9,14,5,19,57,0.4865,2606,29,329,116,161,0.8809999999999999,18,65,1806.23,99,22,4796,1793.38,248,3,44,78,18.2,0,454,801,179,25,15,19,8,21,585,256,41.2,119,24,4.64,66,0.9259999999999999,0,638,10,0.556,2767,0.968,15,11,20.64,0,0.667,45.72,79,0,0,487,8.55
North Texas,6,7,0.46153846153846156,436,42,56,33.5,55,55,34.2,6355,309,-6,946,140.99,24,141.76,444,6.17,66,426,6.72,11,11,8.075117370892018,196,0.36869999999999997,28,87,49,2088,29,4.68,7.592526690391459,2270,56,384,33,0.875,7,2547,56,970,5.44,0.47729999999999995,0.4031,188,4267,261,5,14,14,16,16,11,23,47,0.4483,1928,6,146,132,179,0.75,13,154,1607.0,353,28,5987,1992.38,8,0,20,91,16.0,2,601,320,562,236,21,14,8,24,773,299,40.54,143,44,9.63,91,1.0,0,830,23,0.688,3440,0.9790000000000001,26,34,21.46,1,0.885,41.02,79,0,1,544,1.33
Rice,4,8,0.3333333333333333,266,27,41,22.2,29,28,25.4,4235,220,-10,779,117.99,14,122.66,305,5.04,58,325,5.44,8,8,6.418461538461538,176,0.3515,17,74,26,1367,19,4.09,6.0,2833,68,301,17,0.8667,14,1927,30,796,4.54,0.35,0.3807,125,2868,180,4,13,13,19,29,12,18,63,0.5263,2529,13,72,109,165,0.6585,10,223,1721.5,293,27,4013,1878.33,113,1,10,74,26.5,2,708,265,478,186,7,19,9,19,689,214,41.66,86,20,7.69,85,0.966,1,708,11,0.632,2086,0.973,15,21,26.22,0,0.733,40.14,67,1,0,471,8.69
South Florida,7,6,0.5384615384615384,418,44,51,32.2,50,49,29.8,5300,265,7,935,122.62,34,134.45,387,5.79,77,471,5.67,12,12,7.694267515923567,194,0.39490000000000003,25,106,40,2343,30,4.03,6.6749435665914225,2939,67,492,16,0.7843000000000001,22,2056,51,981,4.76,0.5556,0.3454,130,2957,277,13,10,10,21,28,15,23,70,0.5,3178,13,132,110,195,0.8626999999999999,15,300,1507.62,262,20,5680,2091.85,58,1,31,110,23.71,0,445,735,443,142,15,15,8,35,922,295,43.87,150,27,10.71,105,0.98,1,951,13,0.7140000000000001,3624,1.0,19,29,22.25,0,0.684,45.4,67,0,0,510,4.46
Temple,3,9,0.25,235,24,33,19.6,21,21,35.4,3705,187,-10,797,117.9,10,131.29,425,6.09,59,333,4.65,9,9,6.906906906906907,164,0.3207,30,55,40,1113,21,5.54,6.306569343065694,2489,62,386,16,0.8511,13,2713,47,823,2.88,0.4167,0.36590000000000006,116,2592,196,6,14,14,22,13,16,20,75,0.4286,3035,10,79,120,184,0.7273000000000001,9,79,1812.0,242,36,5013,1785.75,57,0,12,65,25.0,2,673,300,411,136,10,17,11,19,541,240,40.15,101,24,6.08,67,1.0,0,565,12,0.727,2300,0.98,16,16,18.69,1,0.75,40.47,60,0,1,490,5.7
