year,conf,WTeamName,WScore,LTeamName,LScore
2025,B1G,Oregon,34,Northwestern,14
2025,B1G,USC,33,Purdue,17
2025,B1G,Iowa,38,Rutgers,28
2025,B1G,Indiana,63,Illinois,10
2025,B1G,Michigan,30,Nebraska,27
2025,B1G,USC,45,Michigan_St,31
2025,B1G,Maryland,27,Wisconsin,10
2025,B1G,Illinois,34,USC,32
2025,B1G,Indiana,20,Iowa,15
2025,B1G,Minnesota,31,Rutgers,28
2025,B1G,Northwestern,17,UCLA,14
2025,B1G,Oregon,30,Penn_St,24
2025,B1G,Ohio_St,24,Washington,6
2025,B1G,Washington,24,Maryland,20
2025,B1G,Michigan,24,Wisconsin,10
2025,B1G,Nebraska,38,Michigan_St,27
2025,B1G,Ohio_St,42,Minnesota,3
2025,B1G,Illinois,43,Purdue,27
2025,B1G,UCLA,42,Penn_St,37
2025,B1G,Washington,38,Rutgers,19
2025,B1G,Ohio_St,34,Illinois,16
2025,B1G,Nebraska,34,Maryland,31
2025,B1G,UCLA,38,Michigan_St,13
2025,B1G,Minnesota,27,Purdue,20
2025,B1G,Indiana,30,Oregon,20
2025,B1G,Northwestern,22,Penn_St,21
2025,B1G,USC,31,Michigan,13
2025,B1G,Iowa,37,Wisconsin,0
2025,B1G,Minnesota,24,Nebraska,6
2025,B1G,Indiana,38,Michigan_St,13
2025,B1G,Iowa,25,Penn_St,24
2025,B1G,Michigan,24,Washington,7
2025,B1G,Northwestern,19,Purdue,0
2025,B1G,Oregon,56,Rutgers,10
2025,B1G,UCLA,20,Maryland,17
2025,B1G,Ohio_St,34,Wisconsin,0
2025,B1G,Indiana,56,UCLA,6
2025,B1G,Iowa,41,Minnesota,3
2025,B1G,Michigan,31,Michigan_St,20
2025,B1G,Nebraska,28,Northwestern,21
2025,B1G,Oregon,21,Wisconsin,7
2025,B1G,Rutgers,27,Purdue,24
2025,B1G,Washington,42,Illinois,25
2025,B1G,Illinois,35,Rutgers,13
2025,B1G,Indiana,55,Maryland,10
2025,B1G,Michigan,21,Purdue,16
2025,B1G,Minnesota,23,Michigan_St,20
2025,B1G,USC,21,Nebraska,17
2025,B1G,Ohio_St,38,Penn_St,14
2025,B1G,USC,38,Northwestern,17
2025,B1G,Oregon,18,Iowa,16
2025,B1G,Indiana,27,Penn_St,24
2025,B1G,Ohio_St,34,Purdue,10
2025,B1G,Rutgers,35,Maryland,20
2025,B1G,Nebraska,28,UCLA,21
2025,B1G,Wisconsin,13,Washington,10
2024,B1G,Michigan_St,27,Maryland,24
2024,B1G,Indiana,42,UCLA,13
2024,B1G,Illinois,31,Nebraska,24
2024,B1G,Michigan,27,USC,24
2024,B1G,Washington,24,Northwestern,5
2024,B1G,Iowa,31,Minnesota,14
2024,B1G,Rutgers,21,Washington,18
2024,B1G,Penn_St,21,Illinois,7
2024,B1G,USC,38,Wisconsin,21
2024,B1G,Indiana,42,Maryland,28
2024,B1G,Michigan,27,Minnesota,24
2024,B1G,Ohio_St,38,Michigan_St,7
2024,B1G,Nebraska,28,Purdue,10
2024,B1G,Oregon,34,UCLA,13
2024,B1G,Oregon,31,Michigan_St,10
2024,B1G,Penn_St,27,UCLA,11
2024,B1G,Nebraska,14,Rutgers,7
2024,B1G,Minnesota,24,USC,17
2024,B1G,Washington,27,Michigan,17
2024,B1G,Wisconsin,52,Purdue,6
2024,B1G,Indiana,41,Northwestern,24
2024,B1G,Ohio_St,35,Iowa,7
2024,B1G,Northwestern,37,Maryland,10
2024,B1G,Illinois,50,Purdue,49
2024,B1G,Penn_St,33,USC,30
2024,B1G,Wisconsin,42,Rutgers,7
2024,B1G,Iowa,40,Washington,16
2024,B1G,Minnesota,21,UCLA,17
2024,B1G,Oregon,32,Ohio_St,31
2024,B1G,Oregon,35,Purdue,0
2024,B1G,UCLA,35,Rutgers,32
2024,B1G,Maryland,29,USC,28
2024,B1G,Wisconsin,23,Northwestern,3
2024,B1G,Illinois,21,Michigan,7
2024,B1G,Indiana,56,Nebraska,7
2024,B1G,Michigan_St,32,Iowa,20
2024,B1G,USC,42,Rutgers,20
2024,B1G,Oregon,38,Illinois,9
2024,B1G,Michigan,24,Michigan_St,17
2024,B1G,Penn_St,28,Wisconsin,13
2024,B1G,Indiana,31,Washington,17
2024,B1G,Iowa,40,Northwestern,14
2024,B1G,Minnesota,48,Maryland,23
2024,B1G,Ohio_St,21,Nebraska,17
2024,B1G,Ohio_St,20,Penn_St,13
2024,B1G,Washington,26,USC,21
2024,B1G,Iowa,42,Wisconsin,10
2024,B1G,Minnesota,25,Illinois,17
2024,B1G,Indiana,47,Michigan_St,10
2024,B1G,Oregon,38,Michigan,17
2024,B1G,UCLA,27,Nebraska,20
2024,B1G,Northwestern,26,Purdue,20
2024,B1G,UCLA,20,Iowa,17
2024,B1G,Penn_St,35,Washington,6
2024,B1G,Rutgers,26,Minnesota,19
2024,B1G,Indiana,20,Michigan,15
2024,B1G,Oregon,39,Maryland,18
2024,B1G,Ohio_St,45,Purdue,0
2024,B1G,Washington,31,UCLA,19
2024,B1G,Illinois,38,Michigan_St,16
2024,B1G,Penn_St,49,Purdue,10
2024,B1G,Rutgers,31,Maryland,17
2024,B1G,USC,28,Nebraska,20
2024,B1G,Oregon,16,Wisconsin,13
2024,B1G,Ohio_St,31,Northwestern,7
2024,B1G,Michigan_St,24,Purdue,17
2024,B1G,Illinois,38,Rutgers,31
2024,B1G,Penn_St,26,Minnesota,25
2024,B1G,USC,19,UCLA,13
2024,B1G,Nebraska,44,Wisconsin,25
2024,B1G,Ohio_St,38,Indiana,15
2024,B1G,Iowa,29,Maryland,13
2024,B1G,Michigan,50,Northwestern,6
2024,B1G,Minnesota,24,Wisconsin,7
2024,B1G,Iowa,13,Nebraska,10
2024,B1G,Illinois,38,Northwestern,28
2024,B1G,Penn_St,44,Maryland,7
2024,B1G,Rutgers,41,Michigan_St,14
2024,B1G,Oregon,49,Washington,21
2024,B1G,Indiana,66,Purdue,0
2024,B1G,Michigan,13,Ohio_St,10
2024,B1G,Oregon,45,Penn_St,37
2024,B1G,Ohio_St,41,Oregon,21
2024,ACC,Georgia_Tech,24,Florida_St,21
2024,ACC,Boston_College,28,Florida_St,13
2024,ACC,Syracuse,31,Georgia_Tech,28
2024,ACC,Virginia,31,Wake_Forest,30
2024,ACC,Stanford,26,Syracuse,24
2024,ACC,Florida_St,14,California,9
2024,ACC,Clemson,59,NC_State,35
2024,ACC,Louisville,31,Georgia_Tech,19
2024,ACC,Miami_FL,38,Virginia_Tech,34
2024,ACC,Clemson,40,Stanford,14
2024,ACC,Duke,21,North_Carolina,20
2024,ACC,SMU,42,Florida_St,16
2024,ACC,Miami_FL,39,California,38
2024,ACC,Georgia_Tech,24,Duke,14
2024,ACC,Pittsburgh,34,North_Carolina,24
2024,ACC,SMU,34,Louisville,27
2024,ACC,Virginia_Tech,31,Stanford,7
2024,ACC,Virginia,24,Boston_College,14
2024,ACC,Clemson,29,Florida_St,13
2024,ACC,Wake_Forest,34,NC_State,30
2024,ACC,Pittsburgh,17,California,15
2024,ACC,Syracuse,24,NC_State,17
2024,ACC,Clemson,49,Wake_Forest,14
2024,ACC,Georgia_Tech,41,North_Carolina,34
2024,ACC,Louisville,24,Virginia,20
2024,ACC,Virginia_Tech,42,Boston_College,21
2024,ACC,Duke,23,Florida_St,16
2024,ACC,NC_State,24,California,23
2024,ACC,SMU,40,Stanford,10
2024,ACC,Clemson,48,Virginia,31
