year,position,name,status
1990,Chancellor,David Brown,regular
1990,Provost,Lauren Wilson,regular
1991,Chancellor,Samuel Schuman,regular
1991,Provost,Lauren Wilson,regular
1992,Chancellor,Samuel Schuman,regular
1992,Provost,Lauren Wilson,regular
1993,Chancellor,Samuel Schuman,regular
1993,Provost,Lauren Wilson,regular
1994,Chancellor,Patsy Reed,regular
1994,Provost,Lauren Wilson,regular
1995,Chancellor,Patsy Reed,regular
1995,Provost,Thomas Cochran,interim
1996,Chancellor,Patsy Reed,regular
1996,Provost,James Pitts,regular
1997,Chancellor,Patsy Reed,regular
1997,Provost,James Pitts,regular
1998,Chancellor,James Mullen,regular
1998,Provost,James Pitts,regular
1999,Chancellor,James Mullen,regular
1999,Provost,James Pitts,regular
2000,Chancellor,James Mullen,regular
2000,Provost,James Pitts,regular
2001,Chancellor,James Mullen,regular
2001,Provost,James Pitts,regular
2002,Chancellor,James Mullen,regular
2002,Provost,Thomas Cochran,interim
2002,Chancellor,James Mullen,regular
2003,Chancellor,James Mullen,regular
2003,Provost,Mark Padilla,regular
2003,Dean of Social Sciences,Lisa Fridenberg,regular
2003,Dean of Natural Sciences,Katherine Whatley,regular
2003,Dean of Humanities,William Spellman,regular
2004,Chancellor,James Mullen,regular
2004,Provost,Mark Padilla,regular
2004,Dean of Social Sciences,Lisa Fridenberg,regular
2004,Dean of Natural Sciences,Katherine Whatley,regular
2004,Dean of Humanities,William Spellman,regular
2005,Chancellor,Anne Ponder,regular
2005,Provost,Mark Padilla,regular
2005,Dean of Social Sciences,Lisa Fridenberg,regular
2005,Dean of Natural Sciences,Katherine Whatley,regular
2005,Dean of Humanities,William Spellman,regular
2006,Chancellor,Anne Ponder,regular
2006,Provost,Mark Padilla,regular
2006,Dean of Social Sciences,Lisa Fridenberg,regular
2006,Dean of Natural Sciences,Katherine Whatley,regular
2006,Dean of Humanities,William Spellman,regular
2007,Chancellor,Anne Ponder,regular
2007,Provost,Katherine Whatley,interim
