chamber,district,party,name,votes
NC House,1,dem,Susan A. Sawin,17048
NC House,1,rep,Edward C. Goodwin,31789
NC House,2,dem,Ray Jeffers,28071
NC House,2,rep,Jason Chambers,20775
NC House,3,dem,Linda G. Moore,18321
NC House,3,rep,Steve Tyson,29616
NC House,4,dem,Vernon Moore,12856
NC House,4,rep,Jimmy Dixon,21995
NC House,5,dem,Howard Hunter III,18780
NC House,5,rep,Bill Ward,22231
NC House,6,dem,Kiara Johnson,15454
NC House,6,rep,Joe Pike,23937
NC House,7,dem,Jesse Goslen,20520
NC House,7,lib,Gavin Bell,1219
NC House,7,rep,Matthew Winslow,26995
NC House,8,dem,Gloristine Brown,22299
NC House,8,rep,Angelene Mitchell,12630
NC House,9,dem,Claire Kempner,20863
NC House,9,rep,Timothy Reeder,26670
NC House,10,dem,Beatrice Jones,15638
NC House,10,rep,John Bell,24357
NC House,11,dem,Allison A. Dahle,31326
NC House,11,lib,Matthew Kordon,1395
NC House,11,rep,Philip Hensley,15764
NC House,12,dem,Lillie Williams,16526
NC House,12,gre,Adrien Meadows,539
NC House,12,rep,Chris Humphrey,22981
NC House,13,dem,Katie Tomberlin,15015
NC House,13,rep,Celeste Cairns,34925
NC House,14,dem,Carmen Spicer,8419
NC House,14,rep,Wyatt Gable,16573
NC House,15,dem,Christopher Schulte,11588
NC House,15,lib,Matthew Feehan,1831
NC House,15,rep,Phillip Shepard,23903
NC House,16,dem,Frances Lakey,14600
NC House,16,rep,Carson Smith,35717
NC House,17,dem,Charles Jones,25331
NC House,17,rep,Frank Iler,41871
NC House,18,dem,Deb Butler,32414
NC House,19,dem,Jill Brown,25569
NC House,19,rep,Charlie Miller,40970
NC House,20,dem,Jonathan M. Berger,24798
NC House,20,rep,"Ted Davis, Jr.",31545
NC House,21,dem,Ya Liu,30190
NC House,21,rep,Mary Miskimon,17982
NC House,22,dem,Joshua Harrell,16592
NC House,22,rep,William Brisson,26042
NC House,23,dem,Shelly Willingham,24970
NC House,23,rep,Brent Roberson,19297
NC House,24,dem,Dante Pittman,21223
NC House,24,rep,Ken Fontenot,20352
NC House,25,dem,Lorenza M. Wilkins,23234
NC House,25,lib,Nick Taylor,1617
NC House,25,rep,Allen Chesser,23760
NC House,26,dem,Matthew Wood,22507
NC House,26,lib,Kevin Terrett,1710
NC House,26,rep,Donna McDowell White,29804
NC House,27,dem,Rodney D. Pierce,31767
NC House,28,dem,Tawanda Shepard,12947
NC House,28,rep,Larry C. Strickland,28763
NC House,29,dem,Vernetta Alston,47469
NC House,30,dem,Marcia Morey,41417
NC House,31,dem,Zack Hawkins,42785
NC House,32,dem,Bryan Cohn,21054
NC House,32,lib,Ryan Brown,1128
NC House,32,rep,Frank Sossamon,20872
NC House,33,dem,Monika Johnson-Hostler,33364
NC House,33,lib,Chris Costello,8255
NC House,34,dem,Tim Longest,33460
NC House,34,lib,Ed George,10674
NC House,35,dem,Evonne S. Hopkins,26532
NC House,35,lib,Michael Oakes,1484
NC House,35,rep,Mike Schietzelt,28434
NC House,36,dem,Julie von Haefen,28289
NC House,36,lib,Travis Groo,1494
NC House,36,rep,Becki Allen,22171
NC House,37,dem,Safiyah Jackson,26835
NC House,37,lib,Christopher Robinson,1934
NC House,37,rep,Erin Pare,30557
NC House,38,dem,Abe Jones,32434
NC House,39,dem,James Roberson,36355
NC House,40,dem,Joe John,32658
NC House,40,lib,Mike Munger,1583
NC House,40,rep,Jerry Doliner,18186
NC House,41,dem,Maria Cervania,31141
NC House,41,lib,Matthew Laszacs,9550
NC House,42,dem,Mike Colvin,17983
NC House,42,rep,Leonard L. Bryant,6202
NC House,43,dem,Janene (Dublin) Ackles,18163
NC House,43,rep,Diane Wheatley,24536
NC House,44,dem,Charles Smith,20612
NC House,44,rep,Freddie de la Cruz,12526
NC House,45,dem,Frances Vinell Jackson,24710
NC House,46,rep,Brenden H. Jones,28923
NC House,47,dem,Eshonda Hooper,11054
NC House,47,rep,Jarrod Lowery,20145
NC House,48,dem,Garland E. Pierce,18630
NC House,48,rep,Ralph Carter,17298
NC House,49,dem,Cynthia Ball,32422
NC House,50,dem,Renee A. Price,35243
NC House,51,dem,Ginger Bauerband,14216
NC House,51,rep,John Sauls,25683
NC House,52,dem,Jimmy Self,16320
NC House,52,rep,"Ben Moss, Jr.",25615
NC House,53,dem,Kevin G. Thurman,16848
NC House,53,rep,"Howard Penny, Jr.",28717
NC House,54,dem,Robert T. Reives II,29721
NC House,54,rep,Joe Godfrey,24608
NC House,55,dem,Judy H. Little,14212
NC House,55,rep,Mark Brody,24328
NC House,56,dem,Allen Buansi,39248
NC House,56,rep,Jeffrey Hoagland,6228
NC House,57,dem,Tracy Clark,31799
NC House,57,rep,Janice Davis,14899
NC House,58,dem,Amos Quick,32198
NC House,59,dem,Tanneshia Dukes,24722
NC House,59,rep,Alan Branson,30516
NC House,60,dem,Cecil Brockman,23716
NC House,60,rep,Joseph Perrotta,13867
NC House,61,dem,Mary Price (Pricey) Harrison,33605
NC House,61,rep,Crystal T. Davis,9018
NC House,62,dem,Marjorie Benbow,25471
NC House,62,rep,John M. Blust,29293
NC House,63,dem,Robin Wintringham,19276
NC House,63,rep,Stephen Ross,23682
