Grade 1,Grade 2,Grade 3,Final Grade,Course
C,C?,B,B,Spring2018CalcI
C,C,C,D,Spring2018CalcI
C,C,C,C,Spring2018CalcI
C+,C,D,D,Spring2018CalcI
F,F,F,F,Spring2018CalcI
C+,C,C,C,Spring2018CalcI
D,D,C,C-,Spring2018CalcI
C,C,C,C,Spring2018CalcI
F,F,D,D,Spring2018CalcI
B+,B,B,B,Spring2018CalcI
C,B,B,A,Spring2018CalcI
C,C,B,B,Spring2018CalcI
D,F,D,D,Spring2018CalcI
F,F,D,D,Spring2018CalcI
C,C,C,C,Spring2018CalcI
F,F,F,F,Spring2018CalcI
C,D,C,C,Spring2018CalcI
C,D,B-,B,Spring2018CalcI
C,C-,C,C,Spring2018CalcI
C,D,C,C,Spring2018CalcI
B,B,B,B,Spring2018CalcI
F,F,F,F,Spring2018CalcI
C,D,D,D,Spring2018CalcI
C,B,B,B-,Spring2018CalcI
F,F,F,F,Spring2018CalcI
F,F,F,F,Spring2018CalcI
D,D,W,W,Spring2018CalcI
F,D,C,C-,Spring2018CalcI
A,B+,B,B,Spring2018CalcI
B+,A-,B,A-,Spring2018CalcI
B-,C-,F,F,Spring2018CalcI
A-,B,C,C,Spring2017CalcII
A,A,A,A,Spring2017CalcII
C-,D,C,C-,Spring2017CalcII
C,C,C-,C-,Spring2017CalcII
B,B+,B,B,Spring2017CalcII
C,C,C,C,Spring2017CalcII
D,F,F,F,Spring2017CalcII
C-/C,C-/D,D/C-,D,Spring2017CalcII
B+,B,B-,C+,Spring2017CalcII
C,C,C,B,Spring2017CalcII
A-,A,B+,A-,Spring2017CalcII
D,D,D,D,Spring2017CalcII
C,C,C,C,Spring2017CalcII
B,B+,B,B,Spring2017CalcII
D,D/F,D,D,Spring2017CalcII
B,B+,B,B,Spring2017CalcII
F,F,F,D,Spring2017CalcII
B,B+,B,B+,Spring2017CalcII
A,A,A-,A-,Spring2017CalcII
C,C+,C,C,Spring2017CalcII
B-,B,C+,B,Spring2017CalcII
B,B,B,B,Spring2017CalcII
C,C-/D,D,D,Spring2017CalcII
D,D,D/F,D,Spring2017CalcII
B+,A-,B+,A,Spring2017CalcII
C,B,C,C,Spring2017CalcII
A,A-,A,A,Spring2017CalcII
C,C,C,B,Spring2017CalcII
F,F,F,F,Spring2017CalcII
D,D/F,F,F,Spring2017CalcII
B,A-,B+,B,Spring2017CalcII
B,B,C+,C,Spring2017CalcII
C-/C,C,C,C,Spring2017CalcII
B,B,B,B,Spring2017CalcII
C,C,C,C,Spring2017CalcII
B+,B+,B,B,Spring2017CalcII
B-,C,D,C,Spring2017CalcII
B,B,C,C,Spring2017CalcII
B-,B,B,B,Spring2017CalcII
B,B,B-,B,Spring2017CalcII
C,C,C,C,Spring2017CalcII
B,B,C+,C,Spring2017CalcII
B+,B+,B,B,Spring2017CalcII
B,B,B,B,Spring2017CalcII
C,D,D,D,Spring2017CalcII
A-,B+,C,A-,Spring2017CalcII
C-,D,D,C-,Spring2017CalcII
A-,A-,B+,A,Spring2017CalcII
C,C,C,C,Spring2017CalcII
B-,B,C,C+,Spring2017CalcII
C,C,C,C,Spring2017CalcII
A-,A/A-,A-,A,Spring2017CalcII
A-,A,A,A,Spring2017CalcII
B-,C+,B-,C,Spring2017CalcII
C,C,C,C,Spring2017CalcII
B,W,W,W,Fall2015CalcII
D,C,B-,B,Fall2015CalcII
A,B,B,A-,Fall2015CalcII
B,B-,B,B+,Fall2015CalcII
