TFR,Year,Pop
1.0,2025,8191992061
1.0,2030,8544807943
1.0,2035,8876679017
1.0,2040,9183766985
1.0,2045,9461061984
1.0,2050,9701241770
1.0,2055,9899642479
1.0,2060,10058917179
1.0,2065,10185964180
1.0,2070,10284946542
1.0,2075,10355812878
1.0,2080,10397238560
1.0,2085,10410962205
1.0,2090,10402015414
1.0,2095,10373176627
1.0,2100,10324525013
1.0,2105,10257100510
1.0,2110,10169164348
1.0,2115,10064362312
1.0,2120,9945905164
1.0,2125,9813633855
1.0,2130,9664585736
1.0,2135,9498797686
1.0,2140,9317092347
1.0,2145,9121358910
1.0,2150,8914229255
1.0,2155,8698015407
1.0,2160,8473349597
1.0,2165,8239943748
1.0,2170,7998371799
1.0,2175,7748306786
1.0,2180,7491573316
1.0,2185,7229207496
1.0,2190,6961942085
1.0,2195,6689893511
1.0,2200,6413496110
1.0,2205,6134190904
1.0,2210,5851791365
1.0,2215,5569271138
1.0,2220,5288879111
1.0,2225,5011461744
1.0,2230,4737593862
1.0,2235,4467805079
1.0,2240,4203318386
1.0,2245,3945796344
1.0,2250,3696273330
1.0,2255,3455277319
1.0,2260,3222838417
1.0,2265,2999241228
1.0,2270,2784939771
1.0,2275,2579997398
1.0,2280,2384822471
1.0,2285,2199838893
1.0,2290,2025247173
1.0,2295,1860921266
1.0,2300,1706507274
1.0,2305,1561645532
1.0,2310,1426102918
1.0,2315,1299715808
1.0,2320,1182291105
1.0,2325,1073554352
1.0,2330,973161249
1.0,2335,880565890
1.0,2340,795503351
1.0,2345,717562824
1.0,2350,646294221
1.0,2355,581232933
1.0,2360,522007506
1.0,2365,468229302
1.0,2370,419514846
1.0,2375,375487406
1.0,2380,335779628
1.0,2385,300033096
1.0,2390,267895910
1.0,2395,239034972
1.0,2400,213146307
1.0,2405,189952107
1.0,2410,169197631
1.0,2415,150648785
1.0,2420,134088841
1.0,2425,119318151
1.0,2430,106154916
1.0,2435,94433749
1.0,2440,84002362
1.0,2445,74719745
1.0,2450,66458449
1.0,2455,59106947
1.0,2460,52567293
1.0,2465,46751534
1.0,2470,41580216
1.0,2475,36981941
1.0,2480,32892575
1.0,2485,29255205
1.0,2490,26019890
1.0,2495,23142535
1.0,2500,20583759
1.0,2505,18308264
1.0,2510,16284518
1.0,2515,14484525
1.0,2520,12883518
1.0,2525,11459552
1.0,2530,10193105
1.0,2535,9066754
1.0,2540,8064963
1.0,2545,7173915
1.0,2550,6381351
1.0,2555,5676392
1.0,2560,5049364
1.0,2565,4491654
1.0,2570,3995589
1.0,2575,3554343
1.0,2580,3161851
1.0,2585,2812723
1.0,2590,2502170
1.0,2595,2225930
1.0,2600,1980207
1.0,2605,1761628
1.0,2610,1567190
1.0,2615,1394225
1.0,2620,1240362
1.0,2625,1103490
1.0,2630,981731
1.0,2635,873416
1.0,2640,777059
1.0,2645,691339
1.0,2650,615081
1.0,2655,547240
1.0,2660,486886
1.0,2665,433193
1.0,2670,385425
1.0,2675,342928
1.0,2680,305119
1.0,2685,271482
1.0,2690,241555
1.0,2695,214930
1.0,2700,191241
1.0,2705,170165
1.0,2710,151413
1.0,2715,134728
1.0,2720,119884
1.0,2725,106676
1.0,2730,94924
1.0,2735,84468
1.0,2740,75164
1.0,2745,66886
1.0,2750,59520
1.0,2755,52965
1.0,2760,47133
1.0,2765,41944
1.0,2770,37326
1.0,2775,33217
1.0,2780,29561
1.0,2785,26307
1.0,2790,23412
1.0,2795,20835
1.0,2800,18543
1.0,2805,16502
1.0,2810,14687
1.0,2815,13071
1.0,2820,11633
1.0,2825,10354
1.0,2830,9215
1.0,2835,8201
1.0,2840,7299
1.0,2845,6497
1.0,2850,5782
1.0,2855,5147
1.0,2860,4581
1.0,2865,4077
1.0,2870,3629
1.0,2875,3230
1.0,2880,2875
1.0,2885,2559
1.0,2890,2278
1.0,2895,2028
1.0,2900,1805
1.0,2905,1607
1.0,2910,1430
1.0,2915,1273
1.0,2920,1133
1.0,2925,1009
1.0,2930,898
1.0,2935,799
1.0,2940,711
1.0,2945,633
1.0,2950,564
1.0,2955,502
1.0,2960,447
1.0,2965,398
1.0,2970,354
1.0,2975,315
1.0,2980,280
1.0,2985,250
1.0,2990,222
1.0,2995,198
1.0,3000,176
1.0,3005,157
1.0,3010,139
1.0,3015,124
1.0,3020,110
1.0,3025,98
1.0,3030,87
1.0,3035,78
1.0,3040,69
1.0,3045,62
1.0,3050,55
1.0,3055,49
1.0,3060,43
1.0,3065,39
1.0,3070,34
1.0,3075,30
1.0,3080,27
1.0,3085,24
1.0,3090,21
1.0,3095,19
1.0,3100,17
1.0,3105,15
1.0,3110,13
1.0,3115,12
1.0,3120,10
1.0,3125,9
1.0,3130,8
1.0,3135,7
1.0,3140,6
1.0,3145,6
1.0,3150,5
1.0,3155,4
1.0,3160,4
1.0,3165,3
1.0,3170,3
1.0,3175,3
1.0,3180,2
1.0,3185,2
1.0,3190,2
1.0,3195,1
1.0,3200,1
1.0,3205,1
1.0,3210,1
1.0,3215,1
1.0,3220,1
1.0,3225,0
1.0,3230,0
1.0,3235,0
1.0,3240,0
1.0,3245,0
1.0,3250,0
1.0,3255,0
1.0,3260,0
1.0,3265,0
1.0,3270,0
1.0,3275,0
1.0,3280,0
1.0,3285,0
1.0,3290,0
1.0,3295,0
1.0,3300,0
1.0,3305,0
1.0,3310,0
1.0,3315,0
1.0,3320,0
1.0,3325,0
1.0,3330,0
1.0,3335,0
1.0,3340,0
1.0,3345,0
1.0,3350,0
1.0,3355,0
1.0,3360,0
1.0,3365,0
1.0,3370,0
1.0,3375,0
1.0,3380,0
1.0,3385,0
1.0,3390,0
1.0,3395,0
1.0,3400,0
1.0,3405,0
1.0,3410,0
1.0,3415,0
1.0,3420,0
1.0,3425,0
1.0,3430,0
1.0,3435,0
1.0,3440,0
1.0,3445,0
1.0,3450,0
1.0,3455,0
1.0,3460,0
1.0,3465,0
1.0,3470,0
1.0,3475,0
1.0,3480,0
1.0,3485,0
1.0,3490,0
1.0,3495,0
1.0,3500,0
1.0,3505,0
1.0,3510,0
1.0,3515,0
1.0,3520,0
1.0,3525,0
1.0,3530,0
1.0,3535,0
1.0,3540,0
1.0,3545,0
1.0,3550,0
1.0,3555,0
1.0,3560,0
1.0,3565,0
1.0,3570,0
1.0,3575,0
1.0,3580,0
1.0,3585,0
1.0,3590,0
1.0,3595,0
1.0,3600,0
1.0,3605,0
1.0,3610,0
1.0,3615,0
1.0,3620,0
1.0,3625,0
1.0,3630,0
1.0,3635,0
1.0,3640,0
1.0,3645,0
1.0,3650,0
1.0,3655,0
1.0,3660,0
1.0,3665,0
1.0,3670,0
1.0,3675,0
1.0,3680,0
1.0,3685,0
1.0,3690,0
1.0,3695,0
1.0,3700,0
1.0,3705,0
1.0,3710,0
1.0,3715,0
1.0,3720,0
1.0,3725,0
1.0,3730,0
1.0,3735,0
1.0,3740,0
1.0,3745,0
1.0,3750,0
1.0,3755,0
1.0,3760,0
1.0,3765,0
1.0,3770,0
1.0,3775,0
1.0,3780,0
1.0,3785,0
1.0,3790,0
1.0,3795,0
1.0,3800,0
1.0,3805,0
1.0,3810,0
1.0,3815,0
1.0,3820,0
1.0,3825,0
1.0,3830,0
1.0,3835,0
1.0,3840,0
1.0,3845,0
1.0,3850,0
1.0,3855,0
1.0,3860,0
1.0,3865,0
1.0,3870,0
1.0,3875,0
1.0,3880,0
1.0,3885,0
1.0,3890,0
1.0,3895,0
1.0,3900,0
1.0,3905,0
1.0,3910,0
1.0,3915,0
1.0,3920,0
1.0,3925,0
1.0,3930,0
1.0,3935,0
1.0,3940,0
1.0,3945,0
1.0,3950,0
1.0,3955,0
1.0,3960,0
