"VariableName","Value","ValueLabel"
"State abbreviation (HD2024)","AL","Alabama"
"State abbreviation (HD2024)","AK","Alaska"
"State abbreviation (HD2024)","AZ","Arizona"
"State abbreviation (HD2024)","AR","Arkansas"
"State abbreviation (HD2024)","CA","California"
"State abbreviation (HD2024)","CO","Colorado"
"State abbreviation (HD2024)","CT","Connecticut"
"State abbreviation (HD2024)","DE","Delaware"
"State abbreviation (HD2024)","DC","District of Columbia"
"State abbreviation (HD2024)","FL","Florida"
"State abbreviation (HD2024)","GA","Georgia"
"State abbreviation (HD2024)","HI","Hawaii"
"State abbreviation (HD2024)","ID","Idaho"
"State abbreviation (HD2024)","IL","Illinois"
"State abbreviation (HD2024)","IN","Indiana"
"State abbreviation (HD2024)","IA","Iowa"
"State abbreviation (HD2024)","KS","Kansas"
"State abbreviation (HD2024)","KY","Kentucky"
"State abbreviation (HD2024)","LA","Louisiana"
"State abbreviation (HD2024)","ME","Maine"
"State abbreviation (HD2024)","MD","Maryland"
"State abbreviation (HD2024)","MA","Massachusetts"
"State abbreviation (HD2024)","MI","Michigan"
"State abbreviation (HD2024)","MN","Minnesota"
"State abbreviation (HD2024)","MS","Mississippi"
"State abbreviation (HD2024)","MO","Missouri"
"State abbreviation (HD2024)","MT","Montana"
"State abbreviation (HD2024)","NE","Nebraska"
"State abbreviation (HD2024)","NV","Nevada"
"State abbreviation (HD2024)","NH","New Hampshire"
"State abbreviation (HD2024)","NJ","New Jersey"
"State abbreviation (HD2024)","NM","New Mexico"
"State abbreviation (HD2024)","NY","New York"
"State abbreviation (HD2024)","NC","North Carolina"
"State abbreviation (HD2024)","ND","North Dakota"
"State abbreviation (HD2024)","OH","Ohio"
"State abbreviation (HD2024)","OK","Oklahoma"
"State abbreviation (HD2024)","OR","Oregon"
"State abbreviation (HD2024)","PA","Pennsylvania"
"State abbreviation (HD2024)","RI","Rhode Island"
"State abbreviation (HD2024)","SC","South Carolina"
"State abbreviation (HD2024)","SD","South Dakota"
"State abbreviation (HD2024)","TN","Tennessee"
"State abbreviation (HD2024)","TX","Texas"
