School,City,CoL,Abbreviation,Link
App State,"Boone, NC",100.8,ASU,https://www.bestplaces.net/cost_of_living/city/north_carolina/boone
Elizabeth City State,"Elizabeth City, NC",84.4,ECSU,https://www.bestplaces.net/cost_of_living/city/north_carolina/elizabeth_city
Eastern Carolina,"Greenville, NC",85.3,ECU,https://www.bestplaces.net/cost_of_living/city/north_carolina/greenville
Fayetteville State,"Fayetteville, NC",81.4,FSU,https://www.bestplaces.net/cost_of_living/city/north_carolina/fayetteville
NC A&T,"Greensboro, NC",84.2,NCAT,https://www.bestplaces.net/cost_of_living/city/north_carolina/greensboro
North Carolina Central,"Durham, NC",98.8,NCCU,https://www.bestplaces.net/cost_of_living/city/north_carolina/durham
NC State,"Raleigh, NC",105.8,NCSU,https://www.bestplaces.net/cost_of_living/city/north_carolina/raleigh
UNC Chapel Hill,"Chapel Hill, NC",107.8,UNC-CH,https://www.bestplaces.net/cost_of_living/city/north_carolina/chapel_hill
UNC Asheville,"Asheville, NC",105.8,UNCA,https://www.bestplaces.net/cost_of_living/city/north_carolina/asheville
UNC Charlotte,"Charlotte, NC",102.5,UNCC,https://www.bestplaces.net/cost_of_living/city/north_carolina/charlotte
UNC Greensboro,"Greensboro, NC",84.2,UNCG,https://www.bestplaces.net/cost_of_living/city/north_carolina/greensboro
UNC Pembroke,"Pembroke, NC",72.0,UNCP,https://www.bestplaces.net/cost_of_living/city/north_carolina/pembroke
UNC Wilmington,"Wilmington, NC",98.1,UNCW,https://www.bestplaces.net/cost_of_living/city/north_carolina/wilmington
Western Carolina,"Cullowhee, NC",94.5,WCU,https://www.bestplaces.net/cost_of_living/city/north_carolina/cullowhee
Winston-Salem State,"Winston-Salem, NC",84.3,WSSU,https://www.bestplaces.net/cost_of_living/city/north_carolina/winston-salem
