academic_year,rank,salary,extrapolated
1997,Asst,34000,false
1998,Asst,35928,false
1999,Asst,38775,false
2000,Asst,41154,false
2001,Asst,42779,false
2002,Asst,44279,false
2003,Assoc,49000,true
2004,Assoc,50313,false
2005,Assoc,51313,false
2006,Assoc,55653,false
2007,Assoc,61992,false
2008,Assoc,65052,false
2009,Assoc,65052,false
2010,Assoc,65052,false
2011,Assoc,65052,false
2012,Assoc,67333,false
2013,Assoc,67333,false
2014,Full,73833,false
2015,Full,75083,false
2016,Full,80062,false
2017,Full,80062,false
2018,Full,80362,false
2019,Full,80962,false
2020,Full,80962,true
2021,Full,82986,false
2022,Full,85891,false
2023,Full,89327,false
2024,Full,92007,false
2025,Full,92007,false
