CITY,INSTNM,LATITUDE,LONGITUD,STABBR,UNITID,cohort,cost_index,salary,x,y
Boone,Appalachian State University,36.215536,-81.680583,NC,197869,UNC System,95.4,74745.0,368595.2688878636,276770.56621295685
Greenville,East Carolina University,35.607186,-77.368291,NC,198464,UNC System,83.2,77091.0,757425.5971249744,207234.26926181305
Elizabeth City,Elizabeth City State University,36.277978,-76.21404100000002,NC,198507,UNC System,88.0,69602.0,859884.4484377323,283957.64449440414
Fayetteville,Fayetteville State University,35.073640999999995,-78.891696,NC,198543,UNC System,80.9,76421.0,619478.0149770351,146836.86590400847
Greensboro,North Carolina A & T State University,36.07282,-79.773375,NC,199102,UNC System,83.9,79611.0,539937.475694776,257951.88788465149
Durham,North Carolina Central University,35.974237,-78.898602,NC,199157,UNC System,95.2,75974.0,618746.1694935833,246746.8825533867
Raleigh,North Carolina State University at Raleigh,35.785111,-78.67451700000002,NC,199193,UNC System,102.3,100512.0,639024.846740893,225807.0444645867
Wilmington,University of North Carolina Wilmington,34.225223,-77.875527,NC,199218,UNC System,97.5,77192.0,713211.5123218278,53305.72704296231
Asheville,University of North Carolina at Asheville,35.617068,-82.565392,NC,199111,UNC System,106.0,74258.0,286689.45097197365,212915.13247731468
Chapel Hill,University of North Carolina at Chapel Hill,35.911769,-79.050969,NC,199120,UNC System,118.3,115921.0,605000.8351144209,239812.45135339684
Charlotte,University of North Carolina at Charlotte,35.306022,-80.730919,NC,199139,UNC System,98.9,89432.0,452207.29668828554,173981.74678532267
Greensboro,University of North Carolina at Greensboro,36.068236,-79.809414,NC,199148,UNC System,83.9,78216.0,536687.093182958,257469.1556197297
Pembroke,University of North Carolina at Pembroke,34.688313,-79.200347,NC,199281,UNC System,74.5,67172.0,591244.2982295988,104106.80791351419
Cullowhee,Western Carolina University,35.308979,-83.186258,NC,200004,UNC System,90.0,70708.0,229048.61129443132,180962.7521633781
Winston-Salem,Winston-Salem State University,36.089554,-80.225033,NC,199999,UNC System,81.3,75402.0,499277.8156782611,260218.02179090297
