abbr,school,val
UNC-CH,UNC Chapel Hill,170515.67052355086
ECU,Eastern Carolina,130564.72033527904
NCAT,NC A&T,121771.12495892111
NCSU,NC State,117480.28981670902
UNCP,UNC Pembroke,110644.13039631989
FSU,Fayetteville State,109809.9758554304
UNCC,UNC Charlotte,106203.70510098223
UNCG,UNC Greensboro,105712.24139416391
WSSU,Winston-Salem State,103698.4024279398
UNCW,UNC Wilmington,93097.94922663644
ECSU,Elizabeth City State,92966.0062539698
NCCU,North Carolina Central,88785.30447335236
WCU,Western Carolina,87434.19986023758
ASU,App State,84725.48054383497
UNCA,UNC Asheville,78459.54337541749
