school_abbr,job_category,salary
ASU,assistant_professor,131500.0
ASU,assistant_professor,84020.0
ASU,associate_professor,86300.0
ASU,assistant_professor,77030.0
ASU,lecturer,48880.0
ASU,professor,52969.0
ASU,associate_professor,79087.0
ASU,associate_professor,83989.0
ASU,assistant_professor,89000.0
ASU,assistant_professor,70979.0
ASU,assistant_professor,137478.0
ASU,assistant_professor,70000.0
ASU,professor,159274.0
ASU,associate_professor,83106.0
ASU,lecturer,115083.0
ASU,lecturer,41953.0
ASU,professor,98177.0
ASU,assistant_professor,64150.0
ASU,assistant_professor,55000.0
ASU,professor,92165.0
ASU,associate_professor,88161.0
ASU,professor,141433.0
ASU,assistant_professor,97500.0
ASU,lecturer,51800.0
ASU,professor,112958.0
ASU,lecturer,53694.0
ASU,associate_professor,116747.0
ASU,lecturer,67103.0
ASU,lecturer,44586.0
ASU,associate_professor,89733.0
ASU,professor,105378.0
ASU,lecturer,51393.0
ASU,lecturer,75934.0
ASU,assistant_professor,75000.0
ASU,assistant_professor,70000.0
ASU,associate_professor,73906.0
ASU,professor,86790.0
ASU,lecturer,66425.0
ASU,lecturer,53560.0
ASU,lecturer,60057.0
ASU,assistant_professor,146000.0
ASU,professor,102337.0
ASU,professor,79310.0
ASU,associate_professor,94533.0
ASU,assistant_professor,70340.0
ASU,professor,209733.0
ASU,professor,128232.0
ASU,lecturer,50033.0
ASU,assistant_professor,71010.0
ASU,lecturer,52787.0
ASU,associate_professor,78640.0
ASU,lecturer,48841.0
ASU,professor,105133.0
ASU,lecturer,45245.0
ASU,lecturer,42552.0
ASU,professor,90030.0
ASU,professor,44752.0
ASU,lecturer,41383.0
ASU,lecturer,52700.0
ASU,lecturer,48000.0
ASU,lecturer,42477.0
ASU,professor,91999.0
ASU,professor,155601.0
ASU,associate_professor,82180.0
ASU,professor,121858.0
ASU,professor,107270.0
ASU,professor,104565.0
ASU,assistant_professor,68500.0
ASU,lecturer,54587.0
ASU,assistant_professor,63000.0
ASU,assistant_professor,131840.0
ASU,professor,101866.0
ASU,professor,94060.0
ASU,professor,94060.0
ASU,professor,86419.0
ASU,lecturer,54169.0
ASU,associate_professor,85736.0
ASU,professor,92935.0
ASU,assistant_professor,77000.0
ASU,associate_professor,151149.0
ASU,lecturer,60513.0
ASU,lecturer,59555.0
ASU,administrator,210000.0
ASU,professor,103631.0
ASU,lecturer,48567.0
ASU,assistant_professor,55750.0
ASU,assistant_professor,72576.0
ASU,lecturer,53726.0
ASU,lecturer,48606.0
ASU,assistant_professor,52167.0
ASU,lecturer,53260.0
ASU,assistant_professor,158237.0
ASU,professor,90288.0
ASU,associate_professor,67797.0
ASU,assistant_professor,74521.0
ASU,lecturer,69010.0
ASU,lecturer,58526.0
ASU,assistant_professor,80791.0
ASU,professor,118909.0
ASU,assistant_professor,100216.0
ASU,lecturer,57806.0
ASU,assistant_professor,145506.0
ASU,assistant_professor,70448.0
ASU,associate_professor,73209.0
ASU,associate_professor,86320.0
ASU,assistant_professor,78000.0
ASU,professor,114713.0
ASU,professor,144222.0
ASU,lecturer,69760.0
ASU,professor,121531.0
ASU,professor,168639.0
ASU,professor,95383.0
ASU,administrator,138985.0
ASU,lecturer,66896.0
ASU,professor,106000.0
ASU,associate_professor,80767.0
ASU,associate_professor,88987.0
ASU,professor,101333.0
ASU,lecturer,114043.0
ASU,assistant_professor,134284.0
ASU,lecturer,48000.0
ASU,professor,50600.0
ASU,professor,134650.0
ASU,lecturer,66445.0
ASU,lecturer,47917.0
ASU,assistant_professor,75805.0
ASU,professor,96650.0
ASU,assistant_professor,66900.0
ASU,lecturer,85000.0
ASU,professor,103647.0
ASU,assistant_professor,69307.0
ASU,lecturer,49214.0
ASU,professor,129554.0
ASU,assistant_professor,63172.0
ASU,associate_professor,74672.0
ASU,assistant_professor,64272.0
ASU,professor,93000.0
ASU,assistant_professor,131473.0
ASU,professor,94060.0
ASU,professor,125883.0
ASU,lecturer,79470.0
ASU,associate_professor,84754.0
ASU,professor,94814.0
ASU,associate_professor,83074.0
ASU,assistant_professor,71664.0
ASU,associate_professor,90414.0
ASU,professor,84679.0
ASU,assistant_professor,75000.0
ASU,lecturer,59646.0
ASU,assistant_professor,96500.0
ASU,professor,158997.0
ASU,associate_professor,78977.0
ASU,professor,105310.0
ASU,professor,94298.0
ASU,assistant_professor,70000.0
ASU,associate_professor,77105.0
ASU,professor,103633.0
ASU,assistant_professor,70380.0
ASU,assistant_professor,132953.0
ASU,professor,137390.0
ASU,lecturer,54315.0
ASU,assistant_professor,66151.0
ASU,professor,111053.0
ASU,assistant_professor,78221.0
ASU,lecturer,57821.0
ASU,professor,87523.0
ASU,assistant_professor,151754.0
ASU,associate_professor,147000.0
ASU,professor,142665.0
ASU,associate_professor,79710.0
ASU,professor,78694.0
ASU,associate_professor,80950.0
ASU,lecturer,53996.0
ASU,administrator,134000.0
ASU,lecturer,41068.0
ASU,lecturer,49632.0
ASU,administrator,153020.0
ASU,professor,121654.0
ASU,associate_professor,117358.0
ASU,lecturer,68630.0
ASU,associate_professor,73614.0
ASU,lecturer,67350.0
ASU,lecturer,49410.0
ASU,associate_professor,82113.0
ASU,assistant_professor,74000.0
ASU,professor,159074.0
ASU,assistant_professor,129780.0
ASU,assistant_professor,52000.0
ASU,assistant_professor,68589.0
ASU,assistant_professor,81553.0
ASU,lecturer,58760.0
ASU,lecturer,55022.0
ASU,professor,126800.0
ASU,associate_professor,84362.0
ASU,professor,139734.0
ASU,lecturer,58350.0
ASU,lecturer,61014.0
ASU,assistant_professor,72940.0
ASU,professor,123138.0
ASU,lecturer,65000.0
ASU,assistant_professor,67038.0
ASU,assistant_professor,61732.0
ASU,lecturer,54000.0
ASU,lecturer,51440.0
ASU,professor,96304.0
ASU,lecturer,51587.0
ASU,professor,136505.0
ASU,lecturer,117813.0
ASU,lecturer,56000.0
ASU,lecturer,52793.0
ASU,professor,104270.0
ASU,assistant_professor,63000.0
ASU,administrator,219589.0
ASU,lecturer,49885.0
ASU,associate_professor,84462.0
ASU,professor,92900.0
ASU,lecturer,60312.0
ASU,professor,94511.0
ASU,lecturer,65096.0
ASU,professor,88204.0
ASU,professor,92963.0
ASU,assistant_professor,67500.0
ASU,professor,108315.0
ASU,associate_professor,140209.0
ASU,assistant_professor,98550.0
ASU,professor,110523.0
ASU,lecturer,45245.0
ASU,lecturer,70000.0
ASU,associate_professor,173468.0
ASU,professor,88162.0
ASU,professor,101634.0
ASU,assistant_professor,68515.0
ASU,professor,105447.0
ASU,associate_professor,155828.0
ASU,associate_professor,78503.0
ASU,lecturer,60606.0
ASU,associate_professor,80897.0
ASU,associate_professor,85200.0
ASU,lecturer,59968.0
ASU,assistant_professor,70550.0
ASU,lecturer,54400.0
ASU,assistant_professor,71000.0
ASU,professor,115089.0
ASU,lecturer,45140.0
ASU,assistant_professor,68500.0
ASU,professor,98971.0
ASU,professor,55614.0
ASU,professor,87702.0
ASU,lecturer,53560.0
ASU,associate_professor,73693.0
ASU,lecturer,59802.0
ASU,professor,148514.0
ASU,professor,95057.0
ASU,professor,166691.0
ASU,associate_professor,90695.0
ASU,associate_professor,75154.0
ASU,professor,119296.0
ASU,professor,193237.0
ASU,associate_professor,76151.0
ASU,lecturer,48880.0
ASU,professor,101016.0
ASU,associate_professor,159468.0
ASU,associate_professor,117842.0
ASU,assistant_professor,70000.0
ASU,lecturer,65000.0
ASU,assistant_professor,67000.0
ASU,professor,111196.0
ASU,assistant_professor,80000.0
ASU,lecturer,47495.0
