course_code,crn,instructor,course_title,hours,enrollment,book_title,author,isbn,book_option_id,required,follet_access_course,purchase_type,format,purchase_price
ACCT 215.001,60002,"Hughes, Carolyn",Principles of Accounting I,4,26,Financial Account 10e WPNGEC 1 Sem (Custom),Kimmel,9781119930082,0,True,True,Rent,Digital,116.0
ACCT 216.001,60004,"Shields, Jeffrey",Principles of Accounting II,4,20,MyLab Accounting with Pearson eText -- Access Code -- for Managerial Accounting,Tietz,9780138082055,0,True,True,Rent,Digital,160.0
MATH 191.003,60011,"Webster, Julia",Calculus I,4,22,Knewton alta Single Term Access,Knewton,9781635452440,0,True,False,Rent,Digital,54.0
MATH 191.004,60012,"Webster, Julia",Calculus I,4,25,Knewton alta Single Term Access,Knewton,9781635452440,0,True,False,Rent,Digital,54.0
MATH 280.001,60022,"Yang, Kitty",Intro to Foundations of Math,3,15,How to Prove It: A Structured Approach,Velleman,9781108439534,0,False,False,Rent,Used,16.8
MATH 280.001,60022,"Yang, Kitty",Intro to Foundations of Math,3,15,How to Prove It: A Structured Approach,Velleman,9781108439534,0,False,False,Buy,Used,31.5
MATH 280.001,60022,"Yang, Kitty",Intro to Foundations of Math,3,15,How to Prove It: A Structured Approach,Velleman,9781108439534,0,False,False,Buy,New,41.99
MATH 394.001,60025,"Beharrysingh, Rudy",Differential Equations,3,15,"WebAssign for Zill's A First Course in Differential Equations with Modeling Applications, Single-Term Instant Access",Zill,9780357760284,0,True,True,Rent,Digital,114.0
PHYS 131.001,60034,"Beck, Judy",Introductory Physics I,4,24,Physics,Walker,9780134051796,0,True,False,Buy,Digital,116.25
PHYS 131.001,60034,"Beck, Judy",Introductory Physics I,4,24,Physics (LoosePgs)(w/ModifiedMasteringPhysics Access Card),Walker,9780134465791,1,Option 1,False,Buy,New,312.0
PHYS 131.001,60034,"Beck, Judy",Introductory Physics I,4,24,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for Physics,Walker,9780134019727,1,Option 2,False,Rent,Digital,200.0
PHYS 131.001,60034,"Beck, Judy",Introductory Physics I,4,24,Physics (w/Modified Mastering Physics Access Code),Walker,9780134465784,1,Option 3,False,Buy,New,467.75
ACCT 302.001,60040,"Hughes, Carolyn",Intermediate Accounting II,4,13,Intermediate Accounting WileyPLUS (Custom),Kieso,9781119863847,0,True,True,Rent,Digital,81.5
ACCT 340.001,60041,"Bilsky, Brad",Accounting Systems and Control,4,17,MyLab IT NextGen with Pearson eText Access Code for Exploring Microsoft 365: 2021 Edition,Poatsy,9780138240547,0,True,True,Rent,Digital,160.0
DRAM 111.001,60042,"Bond, Laura",Introduction to Acting I,3,11,Respect for Acting,Hagen,9781119913573,0,True,False,Rent,Used,13.97
DRAM 111.001,60042,"Bond, Laura",Introduction to Acting I,3,11,Respect for Acting,Hagen,9781119913573,0,True,False,Rent,New,21.61
DRAM 111.001,60042,"Bond, Laura",Introduction to Acting I,3,11,Respect for Acting,Hagen,9781119913573,0,True,False,Buy,Used,25.0
DRAM 111.001,60042,"Bond, Laura",Introduction to Acting I,3,11,Respect for Acting,Hagen,9781119913573,0,True,False,Buy,New,33.25
DRAM 111.001,60042,"Bond, Laura",Introduction to Acting I,3,11,Respect for Acting,Hagen,9781119913573,0,True,False,Buy,Digital,16.0
PSYC 100.002,60045,"Herrera, Mario",Introductory Psychology,4,32,Revel for Psychology: From Inquiry to Understanding -- Access Card,Lynn,9780135437919,0,True,True,Rent,Digital,120.0
PSYC 100.001,60046,"Herrera, Mario",Introductory Psychology,4,30,Revel for Psychology: From Inquiry to Understanding -- Access Card,Lynn,9780135437919,0,True,True,Rent,Digital,120.0
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology,Morling,9780393617542,0,True,False,Rent,Used,67.94
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology,Morling,9780393617542,0,True,False,Buy,Used,121.5
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology,Morling,9780393617542,0,True,False,Buy,New,161.75
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology (w/InQuizitive),Morling,9780393536263,0,True,False,Rent,Used,67.94
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology (w/InQuizitive),Morling,9780393536263,0,True,False,Rent,Digital,81.81
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology (w/InQuizitive),Morling,9780393536263,0,True,False,Buy,Used,121.5
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology (w/InQuizitive),Morling,9780393536263,0,True,False,Buy,New,161.75
PSYC 201.003,60050,"Brez, Caitlin",Research Methods I,4,25,Research Methods in Psychology (w/InQuizitive),Morling,9780393536263,0,True,False,Buy,Digital,104.13
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Used,109.2
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Digital,50.99
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Digital,69.99
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,Used,195.0
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,New,260.0
PSYC 202.001,60051,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,Digital,88.99
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Used,109.2
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Digital,50.99
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Rent,Digital,69.99
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,Used,195.0
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,New,260.0
PSYC 202.002,60052,"Neelon, Michael",Research Methods II,4,23,Essen of Statistics for The Behavioral Sciences (w/out Access Code),Gravetter,9781337098120,0,True,False,Buy,Digital,88.99
PSYC 214.001,60053,"Lute, Sara",Developmental Psychology,4,25,Human Development,Jensen Arnett,9780134700595,0,True,True,Buy,Digital,110.25
PSYC 216.001,60054,"Foo, Patrick",Fundamentals of Neuroscience,4,11,Neuroscience: Exploring the Brain (w/Navigate Access) (Bk),Bear,9781284211283,1,Option 1,False,Rent,Used,71.09
PSYC 216.001,60054,"Foo, Patrick",Fundamentals of Neuroscience,4,11,Neuroscience: Exploring the Brain (w/Navigate Access) (Bk),Bear,9781284211283,1,Option 1,False,Buy,Used,127.0
